title,link,duration,minutes
El Verbo 'TO HAVE' en inglés,https://www.youtube.com/watch?v=vR7-z1BglgA,0:39,0.65
Los Adjetivos Posesivos en inglés,https://www.youtube.com/watch?v=LHASv4jQ8CM,0:23,0.38
Verbos y El Presente Simple en inglés,https://www.youtube.com/watch?v=XV5An3RQd3o,1:00,1.00
Preguntas usando 'DO' y 'DOES' en inglés,https://www.youtube.com/watch?v=Vx9304jAWps,1:14,1.23
Preguntas con 'WH Questions' en Inglés,https://www.youtube.com/watch?v=sasNSywrnj0,0:15,0.25
Negaciones con Don't y Doesn't en inglés,https://www.youtube.com/watch?v=rL3UYUwYWFg,0:24,0.40
"El pasado con el Verbo TO BE, WAS y WERE",https://www.youtube.com/watch?v=txUKmUwEpRY,0:59,0.98
Curso de Inglés para Principiantes (INGLÉS BÁSICO A1-A2),https://www.youtube.com/watch?v=pSa1ZWRnyLo,0:50,0.83
Introducción,https://www.youtube.com/watch?v=3a89-pXcTOg,0:59,0.98
1 Vocabulario,https://www.youtube.com/watch?v=BqHWMraH-ic,0:56,0.93
2 Pronunciación,https://www.youtube.com/watch?v=pGKby2AMz3w,1:00,1.00
3 Gramática,https://www.youtube.com/watch?v=TFiASx_uP4E,0:58,0.97
¿Cómo vas a aprender todo esto?,https://www.youtube.com/watch?v=e29aqclan_g,0:47,0.78
Escucha esta conversación para aprender inglés RÁPIDO,https://www.youtube.com/watch?v=PeXZktbTgLo,19:03,19.05
[DESBLOQUEA] tu Potencial para APRENDER INGLÉS RÁPIDO: Lo ÚNICO que necesitas para dominar el INGLÉS,https://www.youtube.com/watch?v=Z6GGAQOMX8c,1:42:32,102.53
INTRODUCCIÓN AL MÉTODO,https://www.youtube.com/watch?v=o2L8Ubk27oA,43:21,43.35
DÍA 1 (INICIO),https://www.youtube.com/watch?v=0JInchkixwE,1:07:01,67.02
DÍA 2,https://www.youtube.com/watch?v=XqdRzbkLa7g,1:07:45,67.75
DÍA 3,https://www.youtube.com/watch?v=dij9l7sWkts,6:12:44,372.73
DÍA 4,https://www.youtube.com/watch?v=pg1gs4NzUpM,27:29,27.48
DÍA 5,https://www.youtube.com/watch?v=Bv6gs2pChzk,58:50,58.83
DÍA 6,https://www.youtube.com/watch?v=kAYfAaN_D1k,2:54:43,174.72
DÍA 7,https://www.youtube.com/watch?v=OMfwBBfjcU8,1:11:32,71.53
DÍA 8,https://www.youtube.com/watch?v=CM_MEKvOCzY,9:47:02,587.03
DÍA 9,https://www.youtube.com/watch?v=44brYSuVuVA,3:21:07,201.12
DÍA 10,https://www.youtube.com/watch?v=ir2rqlqSPEw,0:00,0.00
DÍA 11,https://www.youtube.com/watch?v=-Hfi0F3kIpc,30:41,30.68
DÍA 12,https://www.youtube.com/watch?v=1hrcA6gIpmQ,35:28,35.47
DÍA 13,https://www.youtube.com/watch?v=aaLgv4MBRno,2:53:57,173.95
DÍA 14 (FINAL),https://www.youtube.com/watch?v=p8HkjlTr9rY,0:00,0.00
Curso de Inglés COMPLETO (Inglés Intermedio B1-B2),https://www.youtube.com/watch?v=OrQDgnBRWq0,24:29,24.48
How To Cook The Perfect Pasta | Gordon Ramsay,https://www.youtube.com/watch?v=ilWmAUw2hVQ,0:42,0.70
How do you cook spaghetti so it doesn t stick together?,https://www.youtube.com/watch?v=Yd_dTvRpXys,0:38,0.63
Jamie Oliver's tips for cooking great pasta,https://www.youtube.com/watch?v=8xDFO9AnQuc,0:36,0.60
6 Italian Pasta Recipes You Can't Miss,https://www.youtube.com/watch?v=Nfw0qTtDo-c,0:42,0.70
How much pasta should you cook? 🍝,https://www.youtube.com/watch?v=L5y_cvweBgQ,0:36,0.60
